T,I_1,I_2,I_3
0,0,0,0
0.0018,0,5.37002905218622e-06,0
0.0036,0,2.14684900790402e-05,0
0.0054,0,4.82779127513381e-05,0
0.0072,0,8.57807856959059e-05,0
0.009,0,0.000133959556825121,0
0.0108,0,0.000192796643983499,0
0.0126,0,0.000262274432566982,0
0.0144,0,0.000342375237367993,0
0.0162,0,0.000433081333979846,0
0.018,0,0.000534374960156452,0
0.0198,0,0.000646238315812312,0
0.0216,0,0.000768653563022523,0
0.0234,0,0.000901602826022778,0
0.0252,0,0.00104506819120936,0
0.027,0,0.00119903170713915,0
0.0288,0,0.00136347538452963,0
0.0306,0,0.00153838119625885,0
0.0324,0,0.0017237310773655,0
0.0342,0,0.00191950692504881,0
0.036,0,0.00212569059866865,0
0.0378,0,0.00234226391974546,0
0.0396,0,0.00256920867196028,0
0.0414,0,0.00280650660115473,0
0.0432,0,0.00305413941533107,0
0.045,0,0.00331208878465209,0
0.0468,0,0.00358033634144123,0
0.0486,0,0.00385886466975511,0
0.0504,0,0.00414765792936213,0
0.0522,0,0.00444669749157036,0
0.054,0,0.00475596453507619,0
0.0558,0,0.00507544021386571,0
0.0576,0,0.00540510565721467,0
0.0594,0,0.00574494196968856,0
0.0612,0,0.00609493023114254,0
0.063,0,0.00645505149672148,0
0.0648,0,0.00682528679685993,0
0.0666,0,0.00720561713728216,0
0.0684,0,0.00759602349900213,0
0.0702,0,0.00799648683832346,0
0.072,0,0.00840698808683953,0
0.0738,0,0.00882750815143337,0
0.0756,0,0.00925802791427772,0
0.0774,0,0.00969852823283501,0
0.0792,0,0.0101489899398574,0
0.081,0,0.0106093938433867,0
0.0828,0,0.0110797207267544,0
0.0846,0,0.0115599513485818,0
0.0864,0,0.0120500664427798,0
0.0882,0,0.0125500467185489,0
0.09,0,0.0130598728603796,0
0.0918,0,0.0135795255280518,0
0.0936,0,0.0141089853566352,0
0.0954,0,0.0146482329564893,0
0.0972,0,0.0151972489132631,0
0.099,0,0.0157560137878953,0
0.1008,0,0.0163245081166147,0
0.1026,0,0.0169027124109392,0
0.1044,0,0.0174906071576768,0
0.1062,0,0.018088172818925,0
0.108,0,0.0186953898320713,0
0.1098,0,0.0193122386097924,0
0.1116,0,0.0199386995400551,0
0.1134,0,0.0205747529861158,0
0.1152,0,0.0212203792865206,0
0.117,0,0.021875558755105,0
0.1188,0,0.0225402716809948,0
0.1206,0,0.023214498328605,0
0.1224,0,0.0238982189376404,0
0.1242,0,0.0245914137230955,0
0.126,0,0.0252940628752548,0
0.1278,0,0.026006146559692,0
0.1296,0,0.0267276449172708,0
0.1314,0,0.0274585380641446,0
0.1332,0,0.0281988060917564,0
0.135,0,0.0289484290668389,0
0.1368,0,0.0297073870314145,0
0.1386,0,0.0304756600027953,0
0.1404,0,0.0312532279735832,0
0.1422,0,0.0320400709116697,0
0.144,0,0.032836168760236,0
0.1458,0,0.033641501437753,0
0.1476,0,0.0344560488379813,0
0.1494,0,0.0352797908299711,0
0.1512,0,0.0361127072580626,0
0.153,0,0.0369547779418854,0
0.1548,0,0.0378059826763588,0
0.1566,0,0.038666301231692,0
0.1584,0,0.0395357133533837,0
0.1602,0,0.0404141987622224,0
0.162,0,0.0413017371542863,0
0.1638,0,0.0421983082009433,0
0.1656,0,0.0431038915488509,0
0.1674,0,0.0440184668199565,0
0.1692,0,0.0449420136114968,0
0.171,0,0.0458745114959987,0
0.1728,0,0.0468159400212784,0
0.1746,0,0.0477662787104421,0
0.1764,0,0.0487255070618854,0
0.1782,0,0.0496936045492939,0
0.18,0,0.0506705506216425,0
0.1818,0,0.0516563247031963,0
0.1836,0,0.0526509061935097,0
0.1854,0,0.053654274467427,0
0.1872,0,0.054666408875082,0
0.189,0,0.0556872887418984,0
0.1908,0,0.0567168933685895,0
0.1926,0,0.0577552020311584,0
0.1944,0,0.0588021939808978,0
0.1962,0,0.0598578484443899,0
0.198,0,0.0609221446235071,0
0.1998,0,0.061995061695411,0
0.2016,0,0.0630765788125532,0
0.2034,0,0.0641666751026748,0
0.2052,0,0.0652653296688068,0
0.207,0,0.0663725215892697,0
0.2088,0,0.0674882299176738,0
0.2106,0,0.0686124336829192,0
0.2124,0,0.0697451118891955,0
0.2142,0,0.070886243515982,0
0.216,0,0.0720358075180478,0
0.2178,0,0.0731937828254518,0
0.2196,0,0.0743601483435423,0
0.2214,0,0.0755348858608024,0
0.2232,0,0.0767179909472135,0
0.225,0,0.077909444218541,0
0.2268,0,0.0791092234481433,0
0.2286,0,0.0803173064103113,0
0.2304,0,0.0815336708802693,0
0.2322,0,0.0827582946341742,0
0.234,0,0.0839911554491159,0
0.2358,0,0.0852322311031172,0
0.2376,0,0.086481499375134,0
0.2394,0,0.0877389380450549,0
0.2412,0,0.0890045248937015,0
0.243,0,0.0902782377028283,0
0.2448,0,0.0915600542551228,0
0.2466,0,0.0928499523342054,0
0.2484,0,0.0941479097246292,0
0.2502,0,0.0954539042118805,0
