T,trigData_1,trigData_2,trigData_3,trigData_4,trigData_5,trigData_6
0,0,0,0,0,0,0
0.0018,0,-0.000930142211369565,0.000653364911178657,0.000911880558428288,0.000281981945925734,0.00216421439646202
0.0036,0,-0.00186028442273913,0.00130672982235731,0.00182376111685658,0.000563963891851467,0.00432842879292404
0.0054,0,-0.0027904266341087,0.00196009473353597,0.00273564167528486,0.000845945837777201,0.00649264318938605
0.0072,0,-0.00372056884547826,0.00261345964471463,0.00364752223371315,0.00112792778370293,0.00865685758584807
0.009,0,-0.00465071105684783,0.00326682455589329,0.00455940279214144,0.00140990972962867,0.0108210719823101
0.0108,0,-0.00558085326821739,0.00392018946707194,0.00547128335056973,0.0016918916755544,0.0129852863787721
0.0126,0,-0.00651099547958696,0.0045735543782506,0.00638316390899801,0.00197387362148013,0.0151495007752341
0.0144,0,-0.00744113769095652,0.00522691928942926,0.0072950444674263,0.00225585556740587,0.0173137151716961
0.0162,0,-0.00837127990232609,0.00588028420060792,0.00820692502585459,0.0025378375133316,0.0194779295681582
0.018,0,-0.00930142211369565,0.00653364911178657,0.00911880558428288,0.00281981945925734,0.0216421439646202
0.0198,0,-0.0102315643250652,0.00718701402296523,0.0100306861427112,0.00310180140518307,0.0238063583610822
0.0216,0,-0.0111617065364348,0.00784037893414389,0.0109425667011395,0.0033837833511088,0.0259705727575442
0.0234,0,-0.0120918487478043,0.00849374384532254,0.0118544472595677,0.00366576529703454,0.0281347871540062
0.0252,0,-0.0130219909591739,0.0091471087565012,0.012766327817996,0.00394774724296027,0.0302990015504682
0.027,0,-0.0139521331705435,0.00980047366767986,0.0136782083764243,0.004229729188886,0.0324632159469303
0.0288,0,-0.014882275381913,0.0104538385788585,0.0145900889348526,0.00451171113481174,0.0346274303433923
0.0306,0,-0.0158124175932826,0.0111072034900372,0.0155019694932809,0.00479369308073747,0.0367916447398543
0.0324,0,-0.0167425598046522,0.0117605684012158,0.0164138500517092,0.0050756750266632,0.0389558591363163
0.0342,0,-0.0176727020160217,0.0124139333123945,0.0173257306101375,0.00535765697258894,0.0411200735327783
0.036,0,-0.0186028442273913,0.0130672982235731,0.0182376111685658,0.00563963891851467,0.0432842879292403
0.0378,0,-0.0195329864387609,0.0137206631347518,0.019149491726994,0.0059216208644404,0.0454485023257024
0.0396,0,-0.0204631286501304,0.0143740280459305,0.0200613722854223,0.00620360281036614,0.0476127167221644
0.0414,0,-0.0213932708615,0.0150273929571091,0.0209732528438506,0.00648558475629187,0.0497769311186264
0.0432,0,-0.0223234130728696,0.0156807578682878,0.0218851334022789,0.00676756670221761,0.0519411455150884
0.045,0,-0.0232535552842391,0.0163341227794664,0.0227970139607072,0.00704954864814334,0.0541053599115504
0.0468,0,-0.0241836974956087,0.0169874876906451,0.0237088945191355,0.00733153059406907,0.0562695743080125
0.0486,0,-0.0251138397069783,0.0176408526018237,0.0246207750775638,0.00761351253999481,0.0584337887044745
0.0504,0,-0.0260439819183478,0.0182942175130024,0.0255326556359921,0.00789549448592054,0.0605980031009365
0.0522,0,-0.0269741241297174,0.0189475824241811,0.0264445361944203,0.00817747643184627,0.0627622174973985
0.054,0,-0.027904266341087,0.0196009473353597,0.0273564167528486,0.00845945837777201,0.0649264318938605
0.0558,0,-0.0288344085524565,0.0202543122465384,0.0282682973112769,0.00874144032369774,0.0670906462903225
0.0576,0,-0.0297645507638261,0.020907677157717,0.0291801778697052,0.00902342226962347,0.0692548606867846
0.0594,0,-0.0306946929751956,0.0215610420688957,0.0300920584281335,0.00930540421554921,0.0714190750832466
0.0612,0,-0.0316248351865652,0.0222144069800743,0.0310039389865618,0.00958738616147494,0.0735832894797086
0.063,0,-0.0325549773979348,0.022867771891253,0.0319158195449901,0.00986936810740067,0.0757475038761706
0.0648,0,-0.0334851196093043,0.0235211368024317,0.0328277001034184,0.0101513500533264,0.0779117182726326
0.0666,0,-0.0344152618206739,0.0241745017136103,0.0337395806618466,0.0104333319992521,0.0800759326690946
0.0684,0,-0.0353454040320435,0.024827866624789,0.0346514612202749,0.0107153139451779,0.0822401470655567
0.0702,0,-0.036275546243413,0.0254812315359676,0.0355633417787032,0.0109972958911036,0.0844043614620187
0.072,0,-0.0372056884547826,0.0261345964471463,0.0364752223371315,0.0112792778370293,0.0865685758584807
0.0738,0,-0.0381358306661522,0.0267879613583249,0.0373871028955598,0.0115612597829551,0.0887327902549427
0.0756,0,-0.0390659728775217,0.0274413262695036,0.0382989834539881,0.0118432417288808,0.0908970046514047
0.0774,0,-0.0399961150888913,0.0280946911806823,0.0392108640124164,0.0121252236748065,0.0930612190478668
0.0792,0,-0.0409262573002609,0.0287480560918609,0.0401227445708447,0.0124072056207323,0.0952254334443288
0.081,0,-0.0418563995116304,0.0294014210030396,0.0410346251292729,0.012689187566658,0.0973896478407908
0.0828,0,-0.042786541723,0.0300547859142182,0.0419465056877012,0.0129711695125837,0.0995538622372528
0.0846,0,-0.0437166839343696,0.0307081508253969,0.0428583862461295,0.0132531514585095,0.101718076633715
0.0864,0,-0.0446468261457391,0.0313615157365756,0.0437702668045578,0.0135351334044352,0.103882291030177
0.0882,0,-0.0455769683571087,0.0320148806477542,0.0446821473629861,0.0138171153503609,0.106046505426639
0.09,0,-0.0465071105684783,0.0326682455589329,0.0455940279214144,0.0140990972962867,0.108210719823101
0.0918,0,-0.0474372527798478,0.0333216104701115,0.0465059084798427,0.0143810792422124,0.110374934219563
0.0936,0,-0.0483673949912174,0.0339749753812902,0.047417789038271,0.0146630611881381,0.112539148616025
0.0954,0,-0.0492975372025869,0.0346283402924688,0.0483296695966992,0.0149450431340639,0.114703363012487
0.0972,0,-0.0502276794139565,0.0352817052036475,0.0492415501551275,0.0152270250799896,0.116867577408949
0.099,0,-0.0511578216253261,0.0359350701148261,0.0501534307135558,0.0155090070259153,0.119031791805411
0.1008,0,-0.0520879638366956,0.0365884350260048,0.0510653112719841,0.0157909889718411,0.121196006201873
0.1026,0,-0.0530181060480652,0.0372417999371835,0.0519771918304124,0.0160729709177668,0.123360220598335
0.1044,0,-0.0539482482594348,0.0378951648483621,0.0528890723888407,0.0163549528636925,0.125524434994797
0.1062,0,-0.0548783904708043,0.0385485297595408,0.053800952947269,0.0166369348096183,0.127688649391259
0.108,0,-0.0558085326821739,0.0392018946707194,0.0547128335056973,0.016918916755544,0.129852863787721
0.1098,0,-0.0567386748935435,0.0398552595818981,0.0556247140641255,0.0172008987014697,0.132017078184183
0.1116,0,-0.057668817104913,0.0405086244930767,0.0565365946225538,0.0174828806473955,0.134181292580645
0.1134,0,-0.0585989593162826,0.0411619894042554,0.0574484751809821,0.0177648625933212,0.136345506977107
0.1152,0,-0.0595291015276522,0.0418153543154341,0.0583603557394104,0.0180468445392469,0.138509721373569
0.117,0,-0.0604592437390217,0.0424687192266127,0.0592722362978387,0.0183288264851727,0.140673935770031
0.1188,0,-0.0613893859503913,0.0431220841377914,0.060184116856267,0.0186108084310984,0.142838150166493
0.1206,0,-0.0623195281617609,0.04377544904897,0.0610959974146953,0.0188927903770241,0.145002364562955
0.1224,0,-0.0632496703731304,0.0444288139601487,0.0620078779731236,0.0191747723229499,0.147166578959417
0.1242,0,-0.0641798125845,0.0450821788713274,0.0629197585315519,0.0194567542688756,0.149330793355879
