T,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
0.1566,0,0,0,0.0494614605167857,0,0,0,0,0,0
0.1584,0,0,0,0.050573629182257,0,0,0,0,0,0
0.1602,0,0,0,0.0516974056981714,0,0,0,0,0,0
0.162,0,0,0,0.0528327640586813,0,0,0,0,0,0
0.1638,0,0,0,0.053979678222819,0,0,0,0,0,0
0.1656,0,0,0,0.055138122114498,0,0,0,0,0,0
0.1674,0,0,0,0.0563080696225118,0,0,0,0,0,0
0.1692,0,0,0,0.0574894946005348,0,0,0,0,0,0
0.171,0,0,0,0.0586823708671216,0,0,0,0,0,0
0.1728,0,0,0,0.0598866722057075,0,0,0,0,0,0
0.1746,0,0,0,0.0611023723646083,0,0,0,0,0,0
0.1764,0,0,0,0.0623294450570205,0,0,0,0,0,0
0.1782,0,0,0,0.0635678639610207,0,0,0,0,0,0
0.18,0,0,0,0.0648176027195665,0,0,0,0,0,0
0.1818,0,0,0,0.0660786349404957,0,0,0,0,0,0
0.1836,0,0,0,0.0673509341965269,0,0,0,0,0,0
0.1854,0,0,0,0.0686344746083551,0,0,0,0,0,0
0.1872,0,0,0,0.0699292457163184,0,0,0,0,0,0
0.189,0,0,0,0.0712352273444996,0,0,0,0,0,0
0.1908,0,0,0,0.072552391759478,0,0,0,0,0,0
0.1926,0,0,0,0.0738807112233287,0,0,0,0,0,0
0.1944,0,0,0,0.0752201579936227,0,0,0,0,0,0
0.1962,0,0,0,0.0765707043234264,0,0,0,0,0,0
0.198,0,0,0,0.0779323224613021,0,0,0,0,0,0
0.1998,0,0,0,0.079304984651308,0,0,0,0,0,0
0.2016,0,0,0,0.0806886631329978,0,0,0,0,0,0
0.2034,0,0,0,0.0820833301414209,0,0,0,0,0,0
0.2052,0,0,0,0.0834889579071227,0,0,0,0,0,0
0.207,0,0,0,0.084905518656144,0,0,0,0,0,0
0.2088,0,0,0,0.0863329846100216,0,0,0,0,0,0
0.2106,0,0,0,0.0877713279857879,0,0,0,0,0,0
0.2124,0,0,0,0.0892205209959711,0,0,0,0,0,0
0.2142,0,0,0,0.0906805358485951,0,0,0,0,0,0
0.216,0,0,0,0.0921513447471795,0,0,0,0,0,0
0.2178,0,0,0,0.0936329198907396,0,0,0,0,0,0
0.2196,0,0,0,0.0951252334737866,0,0,0,0,0,0
0.2214,0,0,0,0.0966282576863274,0,0,0,0,0,0
0.2232,0,0,0,0.0981419647138643,0,0,0,0,0,0
0.225,0,0,0,0.0996663267373959,0,0,0,0,0,0
0.2268,0,0,0,0.101201315933416,0,0,0,0,0,0
0.2286,0,0,0,0.102746904473914,0,0,0,0,0,0
0.2304,0,0,0,0.104303064526377,0,0,0,0,0,0
0.2322,0,0,0,0.105869768253784,0,0,0,0,0,0
0.234,0,0,0,0.107446987814613,0,0,0,0,0,0
